#Incident Continuum, Enr	nFn 
8.39981e-08	7.687e-10
8.44191e-08	7.804e-10
8.48422e-08	7.921e-10
8.52674e-08	8.041e-10
8.56947e-08	8.163e-10
8.61242e-08	8.286e-10
8.65559e-08	8.411e-10
8.69897e-08	8.538e-10
8.74256e-08	8.667e-10
8.78638e-08	8.798e-10
8.83042e-08	8.931e-10
8.87467e-08	9.066e-10
8.91915e-08	9.203e-10
8.96385e-08	9.342e-10
9.00878e-08	9.483e-10
9.05393e-08	9.626e-10
9.09930e-08	9.772e-10
9.14491e-08	9.919e-10
9.19074e-08	1.007e-09
9.23680e-08	1.022e-09
9.28310e-08	1.038e-09
9.32962e-08	1.053e-09
9.37638e-08	1.069e-09
9.42337e-08	1.085e-09
9.47060e-08	1.102e-09
9.51807e-08	1.118e-09
9.56577e-08	1.135e-09
9.61371e-08	1.152e-09
9.66189e-08	1.170e-09
9.71032e-08	1.187e-09
9.75898e-08	1.205e-09
9.80790e-08	1.224e-09
9.85705e-08	1.242e-09
9.90645e-08	1.261e-09
9.95610e-08	1.280e-09
1.00060e-07	1.299e-09
1.00561e-07	1.319e-09
1.01065e-07	1.339e-09
1.01572e-07	1.359e-09
1.02081e-07	1.380e-09
1.02593e-07	1.400e-09
1.03107e-07	1.422e-09
1.03624e-07	1.443e-09
1.04143e-07	1.465e-09
1.04665e-07	1.487e-09
1.05189e-07	1.509e-09
1.05717e-07	1.532e-09
1.06247e-07	1.555e-09
1.06779e-07	1.579e-09
1.07314e-07	1.603e-09
1.07852e-07	1.627e-09
1.08393e-07	1.652e-09
1.08936e-07	1.676e-09
1.09482e-07	1.702e-09
1.10030e-07	1.727e-09
1.10582e-07	1.754e-09
1.11136e-07	1.780e-09
1.11693e-07	1.807e-09
1.12253e-07	1.834e-09
1.12815e-07	1.862e-09
1.13381e-07	1.890e-09
1.13949e-07	1.919e-09
1.14520e-07	1.948e-09
1.15094e-07	1.977e-09
1.15671e-07	2.007e-09
1.16251e-07	2.037e-09
1.16833e-07	2.068e-09
1.17419e-07	2.099e-09
1.18007e-07	2.131e-09
1.18599e-07	2.163e-09
1.19193e-07	2.196e-09
1.19791e-07	2.229e-09
1.20391e-07	2.263e-09
1.20994e-07	2.297e-09
1.21601e-07	2.332e-09
1.22210e-07	2.367e-09
1.22823e-07	2.403e-09
1.23438e-07	2.439e-09
1.24057e-07	2.476e-09
1.24679e-07	2.513e-09
1.25304e-07	2.551e-09
1.25932e-07	2.590e-09
1.26563e-07	2.629e-09
1.27197e-07	2.668e-09
1.27835e-07	2.709e-09
1.28475e-07	2.750e-09
1.29119e-07	2.791e-09
1.29766e-07	2.833e-09
1.30417e-07	2.876e-09
1.31070e-07	2.920e-09
1.31727e-07	2.964e-09
1.32387e-07	3.008e-09
1.33051e-07	3.054e-09
1.33718e-07	3.100e-09
1.34388e-07	3.147e-09
1.35061e-07	3.194e-09
1.35738e-07	3.243e-09
1.36419e-07	3.292e-09
1.37102e-07	3.341e-09
1.37789e-07	3.392e-09
1.38480e-07	3.443e-09
1.39174e-07	3.495e-09
1.39872e-07	3.548e-09
1.40573e-07	3.601e-09
1.41277e-07	3.656e-09
1.41985e-07	3.711e-09
1.42697e-07	3.767e-09
1.43412e-07	3.824e-09
1.44131e-07	3.882e-09
